day;animal;lie;stand;walk;ruminate;grazing;nothing;inactive;active;highActive,milk_yield,milk_composition
20210509;IE241639972078 78;306;354;0;323;0;337;148;512;0
20210509;IE341125141092 92;760;680;0;497;0;943;581;855;4
20210509;IE241076361097 97;569;511;0;341;0;739;282;617;181
20210509;IE151059721102 102;551;289;0;438;0;402;285;555;0
20210509;IE161342242113 113;348;252;0;251;0;349;251;349;0
20210509;IE351216441135 135;394;206;0;272;0;328;157;359;84
20210509;IE211310042138 138;634;806;0;636;0;804;282;1037;121
20210509;IE341130881148 148;710;730;0;612;0;828;335;963;142
20210509;IE151007751154 154;604;476;0;400;0;680;336;744;0
20210509;IE341087021159 159;270;330;0;234;0;366;163;379;57
20210509;IE211172882186 186;420;180;0;260;0;340;223;377;0
20210509;IE211232691192 192;252;348;0;285;0;315;151;449;0
20210509;IE151681772221 221;438;102;0;211;0;329;252;279;9
20210509;IE151275661240 240;554;526;0;590;0;490;205;829;47
20210509;IE151318392242 242;258;342;0;263;0;337;166;380;54
20210509;IE151494672244 244;425;235;0;315;0;345;202;391;67
20210509;IE371010051266 266;610;290;0;382;0;518;367;531;3
20210509;IE151318312284 284;341;319;0;278;0;382;234;363;63
20210509;IE151318352288 288;383;157;0;317;0;223;105;435;0
20210509;IE341378711293 293;633;507;0;528;0;612;328;812;0
20210509;IE211172892294 294;852;588;0;585;0;855;560;838;42
20210509;IE321445731297 297;670;770;0;601;0;839;382;992;66
20210509;IE391077221322 322;362;298;0;201;0;459;184;453;23
20210509;IE151941630360 360;301;299;0;225;0;375;161;320;120
20210509;IE111093371364 364;496;224;0;291;0;429;276;405;40
20210509;IE391077231372 372;400;320;0;332;0;388;192;473;55
20210509;IE341478942480 480;538;542;0;466;0;614;290;786;4
20210509;IE111093321500 500;419;181;0;299;0;301;162;408;30
20210509;IE211310012556 556;401;139;0;274;0;266;193;347;0
20210509;IE341289711557 557;355;245;0;248;0;352;230;316;53
20210509;IE371423782569 569;746;334;0;417;0;663;425;599;56
20210509;IE151941650585 585;385;335;0;380;0;340;138;576;6
20210509;IE151941680588 588;348;252;0;334;0;266;136;455;9
20210509;IE371423762600 600;419;421;0;369;0;471;292;548;0
20210509;IE111093321616 616;438;162;0;263;0;337;220;377;3
20210509;IE341130881635 635;192;348;0;259;0;281;129;411;0
20210509;IE361214810652 652;675;465;0;524;0;616;264;867;9
20210509;IE241347321691 691;900;0;0;0;0;900;900;0;0
20210509;IE151015181751 751;436;644;0;488;0;592;196;876;8
20210509;IE241280890789 789;482;478;0;443;0;517;167;666;127
20210509;IE141357280799 799;383;697;0;491;0;589;256;755;69
20210509;IE141860931814 814;247;353;0;258;0;342;174;371;55
20210509;IE241129180843 843;310;350;0;288;0;372;154;441;65
20210509;IE191260431861 861;426;174;0;263;0;337;211;386;3
20210509;IE241129170909 909;920;520;0;596;0;844;404;985;51
20210509;IE024132435910 910;436;224;0;297;0;363;194;417;49
20210509;IE241129140914 914;392;208;0;286;0;314;193;398;9
20210509;IE141860981934 934;721;239;0;511;0;449;224;647;90
20210509;IE151059750965 965;412;248;0;313;0;347;158;497;5
20210509;IE241280840974 974;567;213;0;304;0;476;287;493;0
20210509;IE241076390977 977;675;465;0;533;0;607;323;817;0
20210509;IE131435710991 991;884;256;0;549;0;591;324;800;16
20210509;IE151059720995 995;205;335;0;177;0;363;120;367;53
