cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
11,4,04/07/2022,1,UK344097506083,30/05/2022,UK344097506083,8.6333333333,15.366666667,9.5833333333,14.416666667,4.35,11.7,7.95,24,24,16.05,-35
40,2,04/07/2022,1,UK344097407685,30/05/2022,UK344097407685,13.566666667,10.433333333,10.916666667,13.083333333,5.0166666667,15.866666667,3.1166666667,24,24,20.883333333,-35
81,4,24/06/2022,1,UK344097205940,20/05/2022,UK344097205940,14.5,9.5,10.3,13.7,6.4166666667,14.616666667,2.9666666667,24,24,21.033333333,-35
92,3,06/07/2022,1,UK344097607092,01/06/2022,UK344097607092,9.7666666667,14.233333333,9.0166666667,14.983333333,5.1833333333,11.45,7.3833333333,24,24,16.633333333,-35
129,1,23/06/2022,1,UK344097108354,19/05/2022,UK344097108354,11.966666667,12.033333333,10.516666667,13.483333333,4.55,13,6.45,24,24,17.55,-35
153,2,03/07/2022,1,UK344097307803,29/05/2022,UK344097307803,9.4166666667,14.583333333,9.5,14.5,3.4333333333,15.3,5.2666666667,24,24,18.733333333,-35
182,1,22/06/2022,1,UK344097308538,18/05/2022,UK344097308538,10.566666667,12.433333333,9.7,13.3,5.0666666667,12,5.9333333333,23,23,17.066666667,-35
295,5,24/06/2022,1,UK344097105169,20/05/2022,UK344097105169,9.6333333333,14.366666667,11.033333333,12.966666667,4.1,18.533333333,1.3666666667,24,24,22.633333333,-35
333,2,27/06/2022,1,UK344097307558,23/05/2022,UK344097307558,10.766666667,13.233333333,10.983333333,13.016666667,4.8333333333,18.583333333,0.5833333333,24,24,23.416666667,-35
423,3,24/06/2022,1,UK344097706666,20/05/2022,UK344097706666,11.75,12.25,9.9833333333,14.016666667,4.8166666667,12.983333333,6.2,24,24,17.8,-35
440,1,01/07/2022,1,UK344097508484,27/05/2022,UK344097508484,9.7166666667,14.283333333,9.3333333333,14.666666667,4.95,13.533333333,5.5166666667,24,24,18.483333333,-35
542,8,24/06/2022,1,UK344097403338,20/05/2022,UK344097403338,9.9666666667,14.033333333,10.483333333,13.516666667,5.9666666667,13.1,4.9333333333,24,24,19.066666667,-35
561,1,30/06/2022,1,UK344097108340,26/05/2022,UK344097108340,10.216666667,13.783333333,9.5,14.5,4.6666666667,15.95,3.3833333333,24,24,20.616666667,-35
593,3,23/06/2022,1,UK344097406985,19/05/2022,UK344097406985,11.95,12.05,9.0666666667,14.933333333,6.4,11.6,6,24,24,18,-35
654,5,30/06/2022,1,DE001265359399,26/05/2022,DE001265359399,10.333333333,13.666666667,9.8166666667,14.183333333,5.5833333333,12.733333333,5.7,24,24,18.316666667,-35
758,4,27/06/2022,1,UK344097405669,23/05/2022,UK344097405669,11.166666667,12.833333333,9.5666666667,14.433333333,5.95,14.866666667,3.1833333333,24,24,20.816666667,-35
822,2,01/07/2022,1,UK344097707695,27/05/2022,UK344097707695,9.4333333333,14.566666667,10.916666667,13.083333333,3.7,13.75,6.55,24,24,17.45,-35
882,1,28/06/2022,1,UK344097508218,24/05/2022,UK344097508218,11.166666667,12.833333333,10.283333333,13.716666667,5.5833333333,12.266666667,6.15,24,24,17.85,-35
898,2,06/07/2022,1,UK344097707646,01/06/2022,UK344097707646,9.3833333333,14.616666667,9.7833333333,14.216666667,4.2166666667,17.033333333,2.75,24,24,21.25,-35
1622,3,08/07/2022,1,UK344097106877,03/06/2022,UK344097106877,10.466666667,13.533333333,10.15,13.85,4.2333333333,14.566666667,5.2,24,24,18.8,-35
8262,4,03/07/2022,1,DE001267448262,29/05/2022,DE001267448262,9.1166666667,14.883333333,9.65,14.35,4.3833333333,18.916666667,0.7,24,24,23.3,-35
8524,1,08/07/2022,1,UK344097308524,03/06/2022,UK344097308524,11.616666667,12.383333333,9.8,14.2,3.85,15.616666667,4.5333333333,24,24,19.466666667,-35
11,4,04/07/2022,1,UK344097506083,31/05/2022,UK344097506083,10.05,13.95,11.1,12.9,4.1333333333,12.316666667,7.55,24,24,16.45,-34
40,2,04/07/2022,1,UK344097407685,31/05/2022,UK344097407685,14.416666667,9.5833333333,10.4,13.6,5.5666666667,12.766666667,5.6666666667,24,24,18.333333333,-34
